method,seed,success,message,objective_cost,route_duration_minutes,travel_minutes,service_minutes,handling_minutes,monetary_cost,lateness_minutes,late_deliveries,bridge_crossings,mode_transfers,boat_legs,cart_legs,van_legs,delivered_count,num_deliveries,expanded_route_length,solve_time_seconds
nearest_neighbor,23,True,ok,11358.566622119595,485.5929065868411,181.27895267483981,60.0,20.0,26.0,2120.8354524478664,12,12,2,0,22,2,15,15,24,0.008691374998306856
earliest_tw,23,True,ok,894.0452246691741,396.09273727439233,316.0927372743922,60.0,20.0,26.0,54.78122375151713,7,32,2,0,29,2,15,15,31,0.008658332997583784
ortools_none,23,True,ok,13265.259239284742,489.69972253188666,134.372852371917,60.0,20.0,26.0,2500.9419310973826,14,10,2,0,18,2,15,15,20,10.009040332995937
ortools_soft,23,True,ok,537.270977922781,340.8473186151873,229.20903720916115,60.0,20.0,26.0,0.0,0,20,2,0,24,2,15,15,26,10.009453040998778
ortools_strict,23,True,ok (EDD fallback),894.0452246691741,396.09273727439233,316.0927372743922,60.0,20.0,26.0,54.78122375151713,7,32,2,0,29,2,15,15,31,0.14773566600342747
random,24,True,ok,33514.18977501138,1105.48739274751,637.8628633684142,60.0,210.0,1719.7308092210062,6027.245575333822,13,53,13,39,35,0,15,15,74,0.012406916997861117
nearest_neighbor,24,True,ok,6887.179082102038,534.6744086076563,183.64597111529332,60.0,20.0,26.0,1211.833493838111,10,15,2,0,20,2,15,15,22,0.008180749995517544
earliest_tw,24,True,ok,2113.6762879340777,555.7128170946951,441.66681862656384,60.0,20.0,26.0,250.82141245840705,7,38,2,0,29,2,15,15,31,0.008128166999085806
ortools_none,24,True,ok,9010.174059430472,529.5036160938391,185.56778852508398,60.0,20.0,26.0,1637.9837270579424,11,12,2,0,19,2,15,15,21,10.008883250004146
ortools_soft,24,True,ok,656.3908922802152,420.26059485347673,229.19542783331843,60.0,20.0,26.0,0.0,0,21,2,0,18,2,15,15,20,10.009235499994247
ortools_strict,24,True,ok (EDD fallback),2113.6762879340777,555.7128170946951,441.66681862656384,60.0,20.0,26.0,250.82141245840705,7,38,2,0,29,2,15,15,31,0.01902520800649654
random,25,True,ok,20186.525826440975,942.8341452463294,569.0257992277029,60.0,175.0,1596.9608316503386,3435.0627553842296,10,50,10,35,25,1,15,15,61,0.009827792004216462
nearest_neighbor,25,True,ok,9079.757935809563,484.7140489393196,159.09922785043898,60.0,20.0,26.0,1665.3373724801168,12,10,2,0,17,2,15,15,19,0.008158124997862615
earliest_tw,25,True,ok,2343.516772371566,553.7043630292826,467.5115320602855,60.0,20.0,26.0,297.3920455655284,4,40,2,0,28,2,15,15,30,0.007889166998211294
ortools_none,25,True,ok,6341.836835786478,449.9807416246671,133.02139741470145,60.0,20.0,26.0,1128.1731446698957,11,8,2,0,18,2,15,15,20,10.008418790996075
ortools_soft,25,True,ok,822.0273322383362,398.2504762234372,226.75343027339727,60.0,20.0,26.0,39.73032358063608,2,17,2,0,20,2,15,15,22,10.008477665993269
ortools_strict,25,True,ok (EDD fallback),2343.516772371566,553.7043630292826,467.5115320602855,60.0,20.0,26.0,297.3920455655284,4,40,2,0,28,2,15,15,30,0.020177458005491644
random,26,True,ok,22400.38198641966,1034.9910785677262,627.2381157399628,60.0,210.0,2405.8967950325864,3688.399714707097,14,40,13,51,27,0,15,15,78,0.012224416001117788
nearest_neighbor,26,True,ok,4867.81613605286,488.76429126620974,185.23773528373468,60.0,20.0,26.0,821.7339398307093,8,14,2,0,19,2,15,15,21,0.007658625007024966
earliest_tw,26,True,ok,762.3601605074498,458.0205353114518,295.7642497163097,60.0,20.0,26.0,9.865871508054397,1,25,2,0,23,2,15,15,25,0.007472833996871486
ortools_none,26,True,ok,9043.087498711206,501.8418098446929,143.4881244340571,60.0,20.0,26.0,1652.8649567888333,13,10,2,0,19,2,15,15,21,10.008081125008175
ortools_soft,26,True,ok,838.2778623989043,414.5607819210046,215.2281419183872,60.0,20.0,26.0,38.087337903479465,1,17,2,0,19,2,15,15,21,10.026825417007785
ortools_strict,26,True,ok (EDD fallback),762.3601605074498,458.0205353114518,295.7642497163097,60.0,20.0,26.0,9.865871508054397,1,25,2,0,23,2,15,15,25,0.017128084000432864
