method,seed,success,message,objective_cost,route_duration_minutes,travel_minutes,service_minutes,handling_minutes,monetary_cost,lateness_minutes,late_deliveries,bridge_crossings,mode_transfers,boat_legs,cart_legs,van_legs,delivered_count,num_deliveries,expanded_route_length,solve_time_seconds
nearest_neighbor,19,True,ok,10976.46387249998,549.3565860592889,182.08344191805458,60.0,20.0,26.0,2025.2857986822096,13,15,2,0,24,2,15,15,26,0.008543832998839207
earliest_tw,19,True,ok,923.4521104375694,412.6706895341906,308.5954943101791,60.0,20.0,26.0,55.68921522725668,4,25,2,0,26,2,15,15,28,0.008378708007512614
ml_ranker,19,True,ok,1108.0664200562082,389.5460519452015,210.70269589267383,60.0,20.0,26.0,99.54946842768118,3,20,2,0,25,2,15,15,27,0.009147875010967255
ortools_soft,19,True,ok,513.0593305298853,324.70622035325687,202.66919066406786,60.0,20.0,26.0,0.0,0,16,2,0,21,2,15,15,23,10.009208000003127
random,20,True,ok,18149.631429319066,878.5107909149701,539.8538552924432,60.0,210.0,2383.9591788386992,2889.581212821583,12,36,13,56,28,0,15,15,84,0.013007125002332032
nearest_neighbor,20,True,ok,5962.225879459978,446.4330054903662,197.26384892688668,60.0,20.0,26.0,1053.3152742448858,12,15,2,0,18,2,15,15,20,0.008213542008888908
earliest_tw,20,True,ok,693.898801695967,411.42955669018943,331.42955669018966,60.0,20.0,26.0,10.150893332136548,1,30,2,0,30,2,15,15,32,0.008240334005677141
ml_ranker,20,True,ok,816.1738355888626,359.3070499344145,204.952266321597,60.0,20.0,26.0,50.24265213744809,1,18,2,0,22,2,15,15,24,0.008946083005866967
ortools_soft,20,True,ok,636.942172683481,363.42318514160695,228.12428491966136,60.0,20.0,26.0,13.161478994214121,1,19,2,0,22,2,15,15,24,10.00869975000387
random,21,True,ok,20444.654139516977,862.1985286021634,470.05789414791667,60.0,150.0,928.4157201121811,3644.5881253003104,12,35,9,17,28,0,15,15,45,0.007342666998738423
nearest_neighbor,21,True,ok,9975.014692240393,485.4352613429272,133.3941380669235,60.0,20.0,26.0,1844.1723600452008,10,7,2,0,18,2,15,15,20,0.008080166997388005
earliest_tw,21,True,ok,659.5896412777627,422.3930941851751,342.39309418517496,60.0,20.0,26.0,0.0,0,21,2,0,25,2,15,15,27,0.008058042003540322
ml_ranker,21,True,ok,637.0531923184158,407.36879487894385,286.0347863924565,60.0,20.0,26.0,0.0,0,17,2,0,23,2,15,15,25,0.008726207990548573
ortools_soft,21,True,ok,863.0386663473082,401.6778450403274,252.95711488200286,60.0,20.0,26.0,46.90437975736347,3,13,2,0,23,2,15,15,25,10.008747750005568
random,22,True,ok,53997.48008679292,1158.2683029850402,623.6746262826625,60.0,240.0,2446.938468681211,9962.627832726834,14,46,15,58,34,0,15,15,92,0.014764958003070205
nearest_neighbor,22,True,ok,10375.527957490101,533.3483914886725,165.73139626642094,60.0,20.0,26.0,1909.901074051419,10,12,2,0,18,2,15,15,20,0.00833174999570474
earliest_tw,22,True,ok,921.3332203867892,516.0679022093504,391.2950522930096,60.0,20.0,26.0,24.24627341455266,1,30,2,0,29,2,15,15,31,0.008332124998560175
ml_ranker,22,True,ok,747.5434188921038,460.1139332947379,295.8700437611667,60.0,20.0,26.0,6.274503789999358,2,23,2,0,25,2,15,15,27,0.00896749999083113
ortools_soft,22,True,ok,727.3294651626336,427.5853548679826,222.85465408930898,60.0,20.0,26.0,11.990286572131936,1,16,2,0,19,2,15,15,21,10.009024916987983
random,23,True,ok,23202.850340671313,859.4244391897757,525.2739727399398,60.0,180.0,1437.8110949757775,4095.1805173821735,13,46,11,32,27,0,15,15,59,0.010353833000408486
nearest_neighbor,23,True,ok,11358.566622119595,485.5929065868411,181.27895267483981,60.0,20.0,26.0,2120.8354524478664,12,12,2,0,22,2,15,15,24,0.008822541989502497
earliest_tw,23,True,ok,894.0452246691741,396.09273727439233,316.0927372743922,60.0,20.0,26.0,54.78122375151713,7,32,2,0,29,2,15,15,31,0.008833707994199358
ml_ranker,23,True,ok,953.8569439186713,363.1565991566996,232.18759519982828,60.0,20.0,26.0,76.62440903672439,6,22,2,0,23,2,15,15,25,0.009444667011848651
ortools_soft,23,True,ok,537.270977922781,340.8473186151873,229.20903720916115,60.0,20.0,26.0,0.0,0,20,2,0,24,2,15,15,26,10.009551750001265
random,24,True,ok,33514.18977501138,1105.48739274751,637.8628633684142,60.0,210.0,1719.7308092210062,6027.245575333822,13,53,13,39,35,0,15,15,74,0.012686499991104938
nearest_neighbor,24,True,ok,6887.179082102038,534.6744086076563,183.64597111529332,60.0,20.0,26.0,1211.833493838111,10,15,2,0,20,2,15,15,22,0.008306124989758246
earliest_tw,24,True,ok,2113.6762879340777,555.7128170946951,441.66681862656384,60.0,20.0,26.0,250.82141245840705,7,38,2,0,29,2,15,15,31,0.008319957996718585
ml_ranker,24,True,ok,1132.188371788338,475.8147498654953,266.3219793070268,60.0,20.0,26.0,78.49324939801897,5,23,2,0,19,2,15,15,21,0.008928542010835372
ortools_soft,24,True,ok,656.3908922802152,420.26059485347673,229.19542783331843,60.0,20.0,26.0,0.0,0,21,2,0,18,2,15,15,20,10.008969292000984
random,25,True,ok,20186.525826440975,942.8341452463294,569.0257992277029,60.0,175.0,1596.9608316503386,3435.0627553842296,10,50,10,35,25,1,15,15,61,0.010008915996877477
nearest_neighbor,25,True,ok,9079.757935809563,484.7140489393196,159.09922785043898,60.0,20.0,26.0,1665.3373724801168,12,10,2,0,17,2,15,15,19,0.007977500004926696
earliest_tw,25,True,ok,2343.516772371566,553.7043630292826,467.5115320602855,60.0,20.0,26.0,297.3920455655284,4,40,2,0,28,2,15,15,30,0.007915042006061412
ml_ranker,25,True,ok,959.4230485242838,417.69652098936206,209.06469311085067,60.0,20.0,26.0,61.37565340804815,2,17,2,0,17,2,15,15,19,0.008581624992075376
ortools_soft,25,True,ok,822.0273322383362,398.2504762234372,226.75343027339727,60.0,20.0,26.0,39.73032358063608,2,17,2,0,20,2,15,15,22,10.008850916987285
random,26,True,ok,22400.38198641966,1034.9910785677262,627.2381157399628,60.0,210.0,2405.8967950325864,3688.399714707097,14,40,13,51,27,0,15,15,78,0.012144084001192823
nearest_neighbor,26,True,ok,4867.81613605286,488.76429126620974,185.23773528373468,60.0,20.0,26.0,821.7339398307093,8,14,2,0,19,2,15,15,21,0.0075750830001197755
earliest_tw,26,True,ok,762.3601605074498,458.0205353114518,295.7642497163097,60.0,20.0,26.0,9.865871508054397,1,25,2,0,23,2,15,15,25,0.007515542005421594
ml_ranker,26,True,ok,1281.2076626855612,480.09958830737503,241.24982281886986,60.0,20.0,26.0,107.01165604489972,5,23,2,0,22,2,15,15,24,0.008166999992681667
ortools_soft,26,True,ok,838.2778623989043,414.5607819210046,215.2281419183872,60.0,20.0,26.0,38.087337903479465,1,17,2,0,19,2,15,15,21,10.008244374999776
